页面,页面类型,SEO优化,排期,是否原有,URL,参考来源
首页,Brand,是,1,是,/index,原有
购买页,Conversion,否,1,是,/price,原有
登录页,Users,否,1,是,/login,原有
Feeds流页面（图片）,Library,是,1,是,/feed/images,原有
Feeds流页面（视频）,Library,是,1,是,/feed/videos,原有
Feeds流页面（聊天）,Library,是,1,是,/feed/chat,原有
个人主页（Post）,Users,否,1,是,/profile/posts,原有
个人主页（Gallery）,Users,否,1,是,/profile/gallery,原有
Blog页面,Content,是,1,是,/blog,原有
隐私协议页面,Policy,否,1,是,/privacy-policy,原有
用户协议页面,Policy,否,1,是,/terms-of-service,原有
About US,Brand,否,1,是,/about-us,原有
工具页面,Tools,是,1,是,/create,原有
排行榜页面,Library,否,1,是,/rankings,原有
活动推广页,Brand,否,1,否,/promotion,原有
工具页面/衍生图片,Tools,是,2,衍生,/create/image,原有
工具页面/衍生照片,Tools,是,2,衍生,/create/photo,原有
工具页面/衍生视频,Tools,是,2,衍生,/create/video,原有
工具页面/衍生视频,Tools,是,2,衍生,/create/ai-pixel-art,原有
工具页面/衍生视频,Tools,是,2,衍生,/create/ai-anime-art,原有
工具页面/衍生视频,Tools,是,2,衍生,/create/ai-album-cover-art,原有
工具页面/衍生视频,Tools,是,2,衍生,/create/photo-to-art,原有
工具页面/衍生视频,Tools,是,2,衍生,/create/ai-furry-art,原有
PR页面,Brand,否,2,否,/news,原有
下载中心,Brand,否,2,否,/downloadcenter,原有
搜索页,Others,是,2,否,/search,原有
Tag页面,Library,是,3,否,/tag,原有
工具聊天,Tools,是,3,否,/chat,原有
工具箱,Tools,是,3,否,/tools,原有
工具箱/AI移物,Tools,是,3,否,/tools/ai-erase,原有
工具箱/AI舞蹈,Tools,是,3,否,/tools/ai-dance,原有
工具箱/AI换脸,Tools,是,3,否,/tools/ai-face-swap,原有
工具箱/AI滤镜,Tools,是,3,否,/tools/ai-filter,原有
工具箱/AI上妆,Tools,是,3,否,/tools/ai-makeup,原有
工具箱/AI视频,Tools,是,3,否,/tools/ai-video-generator/,原有
工具箱/AI图像放大,Tools,是,3,否,/tools/image-upscaler,原有
工具箱/AI背景去除,Tools,是,3,否,/tools/remove-background,原有
工具箱/AI手绘生成,Tools,是,3,否,/tools/scribble2img,原有
工具箱/AI文生图,Tools,是,3,否,/tools/text2img,原有
工具箱/AI漫画生成,Tools,是,3,否,/tools/ai-comic,原有
工具箱/AI肖像,Tools,是,3,否,/tools/ai-portrait,原有
落地页/AI视频,LP,是,3,否,/features/ai-animation-generator,原有
落地页/AI视频,LP,是,3,否,/features/ai-chat-online,原有
落地页/中国GPT,LP,是,3,否,/features/china-chat-gpt,原有
落地页/AI换脸,LP,是,3,否,/features/face-morph,原有
落地页/FurryArt,LP,是,3,否,/features/furry-ai-art-generator,原有
落地页/AI换脸,LP,是,3,否,/features/gif-face-swap,原有
落地页/AI图生视频,LP,是,3,否,/features/image-to-video,原有
落地页/AI换脸（多脸）,LP,是,3,否,/features/multiple-face-swap,原有
落地页/AI文生视频,LP,是,3,否,/features/text-to-video,原有
落地页/AI换脸,LP,是,3,否,/features/video-face-swap,原有
落地页/AI视频,LP,是,3,否,/features/wan-ai-video-generator,原有
工具页/AI头像生成器,Tools,是,3,否,/features/ai-avatar-generator,https://bylo.ai/features/ai-avatar-generator
工具页/AI写真生成器,Tools,是,3,否,/features/ai-headshot-generator,https://bylo.ai/features/ai-headshot-generator
工具页/AI艺术生成器,Tools,是,3,否,/features/ai-art-generator,https://magichour.ai/tools/ai-art-generator
工具页/AI卡通生成器,Tools,是,3,否,/features/ai-cartoon-generator,https://bylo.ai/features/ai-cartoon-generator
工具页/AI像素艺术生成器,Tools,是,3,否,/features/ai-pixel-art-generator,https://bylo.ai/features/pixel-art-generator
工具页/AI角色生成器,Tools,是,3,否,/features/ai-character-generator,https://bylo.ai/features/ai-character-generator
工具页/AI动漫生成器,Tools,是,3,否,/features/ai-anime-generator,https://komiko.app/ai-anime-generator
工具页/AI风格转换,Tools,是,3,否,/features/ai-style-transfer,https://openart.ai/features/style-transfer
工具页/AI背景替换,Tools,是,3,否,/features/ai-background-changer,https://bylo.ai/features/background-changer
工具页/AI图像修复,Tools,是,3,否,/features/ai-image-enhancer,https://magichour.ai/create/ai-image-editor
工具页/AI表情包生成器,Tools,是,3,否,/features/ai-meme-generator,https://bylo.ai/features/ai-meme-generator
工具页/AI Logo生成器,Tools,是,3,否,/features/ai-logo-generator,https://magichour.ai/tools/ai-logo-generator
工具页/AI封面生成器,Tools,是,3,否,/features/ai-album-cover-generator,https://bylo.ai/features/ai-album-cover-generator
工具页/AI海报生成器,Tools,是,3,否,/features/ai-poster-generator,https://magichour.ai/tools/movie-poster-generator
工具页/AI漫画生成器,Tools,是,3,否,/features/ai-comic-book-generator,https://komiko.app/ai-comic-generator
工具页/AI插画生成器,Tools,是,3,否,/features/ai-illustration-generator,https://magichour.ai/tools/ai-illustration-generator
工具页/AI水彩画生成器,Tools,是,3,否,/features/ai-watercolor-generator,https://openart.ai/generator/watercolor
工具页/AI油画生成器,Tools,是,3,否,/features/ai-oil-painting-generator,https://openart.ai/features/photo-to-oil-painting
工具页/AI素描生成器,Tools,是,3,否,/features/ai-sketch-generator,https://magichour.ai/tools/ai-sketch-generator
工具页/AI纹身设计器,Tools,是,3,否,/features/ai-tattoo-designer,https://bylo.ai/features/ai-tattoo-designer
工具页/AI表情符号生成器,Tools,是,3,否,/features/ai-emoji-generator,https://magichour.ai/tools/emoji-generator
工具页/AI贴纸生成器,Tools,是,3,否,/features/ai-sticker-generator,https://openart.ai/apps/sticker-generator
工具页/AI二维码生成器,Tools,是,3,否,/features/ai-qr-code-generator,https://magichour.ai/create/ai-qr-code-generator
工具页/AI动物生成器,Tools,是,3,否,/features/ai-animal-generator,https://openart.ai/generator/animal
工具页/AI宠物生成器,Tools,是,3,否,/features/ai-pet-generator,https://bylo.ai/features/ai-pet-generator
工具页/AI超级英雄生成器,Tools,是,3,否,/features/ai-superhero-generator,https://bylo.ai/features/ai-superhero-generator
工具页/AI幻想角色生成器,Tools,是,3,否,/features/ai-fantasy-character-generator,https://bylo.ai/features/ai-fantasy-portrait-generator
工具页/AI游戏角色生成器,Tools,是,3,否,/features/ai-game-character-generator,https://openart.ai/generator/cartoon-character
工具页/AI时尚设计器,Tools,是,3,否,/features/ai-fashion-designer,https://magichour.ai/tools/ai-fashion-generator
工具页/AI室内设计器,Tools,是,3,否,/features/ai-interior-designer,https://magichour.ai/tools/ai-interior-design-generator
工具页/AI建筑设计器,Tools,是,3,否,/features/ai-architecture-generator,https://openart.ai/generator/home-design
工具页/AI汽车设计器,Tools,是,3,否,/features/ai-car-designer,https://bylo.ai/features/ai-car-generator
工具页/AI珠宝设计器,Tools,是,3,否,/features/ai-jewelry-designer,https://openart.ai/generator/jewelry
工具页/AI食物生成器,Tools,是,3,否,/features/ai-food-generator,https://openart.ai/search/food
工具页/AI风景生成器,Tools,是,3,否,/features/ai-landscape-generator,https://magichour.ai/tools/ai-landscape-generator
工具页/AI城市生成器,Tools,是,3,否,/features/ai-city-generator,https://openart.ai/generator/city-map
工具页/AI太空艺术生成器,Tools,是,3,否,/features/ai-space-art-generator,https://magichour.ai/tools/ai-art-generator
工具页/AI抽象艺术生成器,Tools,是,3,否,/features/ai-abstract-art-generator,https://magichour.ai/tools/ai-art-generator
产品页/AI图像生成器,Tools,是,3,否,/products/ai-image-generator,https://magichour.ai/products/ai-image-generator
产品页/AI照片生成器,Tools,是,3,否,/products/ai-photo-generator,https://magichour.ai/products/ai-image-generator
产品页/AI视频生成器,Tools,是,3,否,/products/ai-video-generator,https://magichour.ai/products/ai-video-generator
产品页/AI头像生成器,Tools,是,3,否,/products/ai-avatar-generator,https://magichour.ai/products/ai-selfie-generator
产品页/AI写真生成器,Tools,是,3,否,/products/ai-headshot-generator,https://magichour.ai/products/ai-headshot-generator
产品页/AI艺术生成器,Tools,是,3,否,/products/ai-art-generator,https://magichour.ai/products/ai-art-generator
产品页/AI卡通生成器,Tools,是,3,否,/products/ai-cartoon-generator,https://magichour.ai/products/ai-image-generator
